,McaM,McoM,Pvalue,OR,CI.upper,CI.lower,Logistic.P,Sens,Spec,AUC
AHRR_374265,0.040132695,0.079826338,0.026091493,1.875172675,3.880083685,0.457238848,0.032122568,0.361111111,0.87962963,0.588220165
AHRR_374279,0.043184397,0.099865374,1.70058E-05,3.242294926,5.613606974,1.359900107,0.003280339,0.444444444,0.861111111,0.670438957
AHRR_374281,0.058056242,0.116063221,0.001033293,2.004262711,3.63855551,0.74782318,0.007009679,0.46728972,0.768518519,0.630408446
AHRR_374294,0.056827678,0.12029668,3.72388E-05,2.278015802,4.053366362,0.931332029,0.004682316,0.5,0.833333333,0.663623114
AHRR_374296,0.056269225,0.113076358,0.000171024,2.069827667,3.810351216,0.754690691,0.008708812,0.416666667,0.861111111,0.649048354
AHRR_374303,0.062390027,0.125187602,0.000167117,2.232620573,3.92688162,0.921240235,0.00385772,0.453703704,0.925925926,0.649348422
AHRR_374306,0.085601279,0.157821066,1.28691E-05,1.974902944,3.45559212,0.825358364,0.003611924,0.407407407,0.916666667,0.673096708
AHRR_374313,0.147392458,0.222104467,0.035733496,1.293296702,2.220544694,0.499026301,0.003256229,0.420560748,0.831775701,0.583850118
AHRR_374328,0.053720732,0.084265985,0.093797615,1.292412994,2.901950984,0.087011754,0.065099431,0.342592593,0.842592593,0.566443759
AHRR_374339,0.066346197,0.113053392,0.000536648,2.168537207,4.067436721,0.701712256,0.013309398,0.5,0.787037037,0.637345679
AHRR_374344,0.048269347,0.076654409,0.01763592,3.270293313,5.718907067,1.210298379,0.004505246,0.259259259,0.935185185,0.594264403
AHRR_374356,0.052182877,0.078400929,0.01019995,2.002715737,4.153013362,0.31216234,0.043845305,0.537037037,0.675925926,0.601937586
AHRR_374370,0.092891199,0.145222506,0.008703803,1.272726544,2.437919867,0.335277385,0.017117917,0.435185185,0.842592593,0.604252401
AHRR_374380,0.048877117,0.078576414,0.061092119,1.358313364,3.040697315,0.086517445,0.070465333,0.453703704,0.712962963,0.574245542
AHRR_374392,0.06082068,0.100791593,0.000675241,1.472687744,2.948463729,0.306679496,0.029243443,0.527777778,0.703703704,0.634816529
AHRR_374398,0.066589946,0.095615966,0.152985787,1.035139816,2.364515098,-0.047192884,0.089966348,0.305555556,0.87037037,0.55675583
AHRR_374420,0.062939061,0.081195779,0.487467183,0.768067595,2.089464994,-0.375885019,0.212360433,0.416666667,0.703703704,0.52760631
AHRR_374425,0.080616277,0.107288118,0.415987218,0.947300431,2.240927614,-0.121152776,0.111018112,0.240740741,0.944444444,0.532407407
ARRB2_4615064,0.398219629,0.531131963,3.41673E-08,1.908804551,2.706214172,1.178916424,1.18663E-06,0.694444444,0.777777778,0.718964335
ARRB2_4615088,0.008523062,0.007866625,0.230186895,-24.57078871,9.466864949,-59.53447299,0.163192095,0.296296296,0.824074074,0.547753772
ARRB2_4615165,0.144399905,0.383054206,3.70406E-19,2.370461463,3.169401972,1.669775373,1.08918E-09,0.916666667,0.722222222,0.856652949
BCAN_156616482,0.379885061,0.660398123,2.88253E-23,4.802645992,6.082503247,3.716082421,6.25435E-14,0.824074074,0.898148148,0.901663237
BCAN_156616498,0.41444818,0.699475693,2.27482E-23,5.049250641,6.372481886,3.9262025,3.82252E-14,0.87037037,0.87962963,0.903034979
BCAN_156616518,0.375932711,0.713082398,6.27317E-25,4.664635768,5.846207609,3.662107983,2.53853E-14,0.851851852,0.907407407,0.920867627
BCAN_156616535,0.249283889,0.652872468,7.45515E-26,4.237943317,5.378420204,3.293932497,5.66992E-14,0.907407407,0.888888889,0.935785322
BCAN_156616554,0.169941272,0.579579062,4.90735E-25,3.797992894,4.82147569,2.938646896,8.86685E-14,0.916666667,0.87962963,0.922325103
BCAN_156616560,0.23161273,0.656082131,7.65483E-26,3.958811967,4.987567409,3.094986496,2.53853E-14,0.962962963,0.851851852,0.932956104
DLX5_96650072,0.217254492,0.422202589,4.15367E-21,4.171381251,5.601572087,2.963772691,1.08428E-09,0.851851852,0.851851852,0.877914952
DLX5_96650078,0.262577953,0.448161189,9.80488E-19,4.262414987,5.761463488,3.014678848,1.93241E-09,0.833333333,0.833333333,0.85202332
DLX5_96650096,0.176235577,0.379655716,5.79939E-21,4.135123659,5.60845423,2.900020303,3.66513E-09,0.861111111,0.87962963,0.876371742
DLX5_96650099,0.262594712,0.450033312,1.46799E-20,4.628156981,6.229050634,3.282059805,1.36574E-09,0.842592593,0.87037037,0.87191358
DLX5_96650102,0.210013101,0.398093967,5.77578E-20,4.321026581,5.864004568,3.0219926,4.27516E-09,0.833333333,0.888888889,0.865397805
DLX5_96650171,0.073778712,0.222847147,3.41554E-15,7.045458873,9.95906775,4.729253555,1.71643E-07,0.75,0.861111111,0.812928669
DLX5_96650192,0.07801005,0.242920801,8.17982E-20,6.684268414,9.247104222,4.571333045,3.22619E-08,0.861111111,0.842592593,0.863768861
DMRTA2_50888443,0.200345826,0.515393335,4.62546E-24,4.460084533,5.841195024,3.323175897,1.95284E-11,0.87962963,0.925925926,0.910922497
DMRTA2_50888460,0.247790785,0.561347658,3.91466E-24,4.619019189,6.001862899,3.471946755,6.20116E-12,0.898148148,0.916666667,0.911822702
DMRTA2_50888479,0.155227123,0.418647218,1.29852E-21,3.824239493,5.124495539,2.752971832,5.16685E-10,0.861111111,0.87037037,0.88340192
DMRTA2_50888485,0.255762939,0.516939072,8.25435E-21,3.986161225,5.276164907,2.918129999,9.39245E-11,0.805555556,0.916666667,0.874614198
DMRTA2_50888501,0.113214235,0.345724803,4.49285E-20,3.57198634,4.852075701,2.511119492,3.67029E-09,0.851851852,0.851851852,0.866640947
DMRTA2_50888522,0.161888826,0.408156469,2.01236E-19,3.295473207,4.44458915,2.341413992,1.41107E-09,0.814814815,0.87037037,0.8594393
DMRTA2_50888525,0.172773677,0.462137912,1.41081E-21,3.714438814,4.861013586,2.742836591,2.75232E-11,0.796296296,0.925925926,0.882973251
DMRTA2_50888560,0.187273861,0.465291887,1.36697E-19,3.519631242,4.647775288,2.576072925,8.07036E-11,0.787037037,0.907407407,0.861368313
DMRTA2_50888569,0.147192981,0.482380237,8.68714E-23,3.669810497,4.824956991,2.715531765,3.55627E-11,0.87037037,0.87962963,0.896047668
DMRTA2_50888571,0.190888401,0.519842334,3.11733E-23,3.786516643,4.960858134,2.818621601,2.0306E-11,0.842592593,0.888888889,0.901148834
DMRTA2_50888588,0.138917536,0.433135165,5.81501E-19,3.179804238,4.254713641,2.291054071,4.55777E-10,0.805555556,0.907407407,0.854509602
DMRTA2_50888590,0.151888363,0.461872076,1.14547E-21,3.412646288,4.558567732,2.477071713,2.90278E-10,0.888888889,0.833333333,0.884002058
DMRTA2_50888597,0.224952133,0.527978459,3.01935E-21,3.755349917,4.936577197,2.781085156,3.17886E-11,0.833333333,0.907407407,0.879372428
DMRTA2_50888613,0.189623108,0.517104272,1.55046E-23,4.011688923,5.24390258,2.989438998,1.68002E-11,0.888888889,0.888888889,0.904749657
DMRTA2_50888615,0.221831511,0.574326077,3.65469E-23,4.026020461,5.180718133,3.06076262,1.44541E-12,0.851851852,0.925925926,0.900248628
FGF8_103536314,0.412905681,0.508056297,0.000177218,1.549364258,2.364486304,0.799026475,0.000111216,0.5,0.907407407,0.648791152
FGF8_103536320,0.11523292,0.340202365,1.59425E-20,3.732126657,5.077246426,2.609861559,4.94401E-09,0.805555556,0.907407407,0.871527778
FGF8_103536330,0.168762387,0.375983465,9.96647E-19,3.511899631,4.789970652,2.434021249,8.20424E-09,0.768518519,0.861111111,0.851937586
FGF8_103536336,0.382239133,0.504331547,4.04866E-07,2.143330282,3.081490092,1.308761018,2.49335E-06,0.546296296,0.907407407,0.701045953
FGF8_103536339,0.166370541,0.380847485,1.07119E-18,3.54543968,4.816501357,2.478136843,4.45774E-09,0.824074074,0.861111111,0.85159465
FGF8_103536342,0.117083449,0.336709673,2.48828E-20,3.730090472,5.084294016,2.596251078,6.78536E-09,0.833333333,0.898148148,0.869384431
FGF8_103536348,0.174479509,0.416584761,4.65171E-21,3.872529826,5.161714486,2.785302163,3.80773E-10,0.898148148,0.824074074,0.877400549
FGF8_103536360,0.124754979,0.331197034,1.80978E-19,3.667372445,5.001913144,2.539884042,8.41988E-09,0.805555556,0.888888889,0.860039438
FGF8_103536381,0.173249501,0.370084485,1.32576E-15,3.375053068,4.640145162,2.30829505,2.18188E-08,0.768518519,0.861111111,0.8176869
FGF8_103536384,0.125904923,0.343843147,9.77859E-20,3.628436527,4.931195465,2.532902548,4.98877E-09,0.75,0.916666667,0.862997257
FGF8_103536398,0.375331637,0.555715418,1.66017E-12,3.039054626,4.076620846,2.135446682,1.4388E-09,0.675925926,0.907407407,0.78013546
FGF8_103536402,0.517023893,0.628638948,1.31108E-07,2.491577284,3.508384593,1.569513984,5.90795E-07,0.546296296,0.935185185,0.709447874
FGF8_103536416,0.464077928,0.611230599,3.53717E-12,3.379306047,4.550414567,2.345717416,3.12716E-09,0.648148148,0.925925926,0.775891632
FGF8_103536426,0.421792132,0.589536834,2.83018E-14,3.731699827,4.949969781,2.664074777,3.55275E-10,0.703703704,0.916666667,0.802083333
FGF8_103536432,0.256859858,0.451374682,1.76509E-14,3.27548706,4.423133005,2.291842635,2.89734E-09,0.731481481,0.888888889,0.804569616
FGF8_103536439,0.420978011,0.530972291,1.60996E-07,2.413498687,3.482357342,1.469306474,3.01278E-06,0.611111111,0.87037037,0.707947531
FGF8_103536441,0.35675444,0.525384498,5.81817E-14,3.407352937,4.607936167,2.368980595,4.0096E-09,0.685185185,0.898148148,0.798268176
FGF8_103536448,0.423713328,0.588386776,5.21774E-14,3.632359272,4.844859169,2.574367789,6.96414E-10,0.759259259,0.814814815,0.798868313
FGF8_103536453,0.378585308,0.577133612,3.12693E-17,4.14288613,5.439623003,3.028332902,5.51724E-11,0.731481481,0.935185185,0.83590535
FGF8_103536463,0.214442598,0.442500796,6.76738E-21,4.14068436,5.530599693,2.967237994,5.21949E-10,0.888888889,0.787037037,0.875514403
FGF8_103536470,0.506635166,0.614027742,4.3801E-07,2.584915662,3.665798299,1.615598201,9.26938E-07,0.555555556,0.916666667,0.700445816
FGF8_103536483,0.45564239,0.621389164,5.05934E-15,4.121658521,5.444671612,2.971607981,1.678E-10,0.694444444,0.925925926,0.810913923
FGF8_103536487,0.42320749,0.59720061,2.92134E-14,3.932344399,5.19916765,2.834162924,1.78933E-10,0.712962963,0.898148148,0.801911866
FGF8_103536489,0.23924791,0.481943088,5.53679E-20,4.044779115,5.330060912,2.960998303,6.86347E-11,0.768518519,0.935185185,0.86561214
FGF8_103536496,0.667770538,0.703579549,0.010090472,1.231500856,2.325393216,0.190074949,0.02439338,0.518518519,0.824074074,0.602194787
FGF8_103536504,0.502979795,0.626176793,1.54466E-09,3.032896207,4.171127827,2.018302073,4.73184E-08,0.638888889,0.898148148,0.739583333
FGF8_103536531,0.232358219,0.371611173,1.70561E-07,2.475000937,3.548677179,1.557489182,1.31634E-06,0.601851852,0.888888889,0.707518861
GRIN1_140051098,0.021445475,0.067802673,0.037361643,4.30126342,9.048353019,0.717851472,0.051293079,0.4,0.852941176,0.62124183
GRIN1_140051107,0.044369105,0.113238138,0.016985721,3.4237785,6.425582694,1.009127326,0.014378925,0.595744681,0.722222222,0.649231678
GRIN1_140051121,0.161511637,0.408487998,0.003757859,3.278223363,6.366224888,1.114632098,0.013309398,0.722222222,0.833333333,0.821759259
GRIN1_140051127,0.071600622,0.291920985,0.002099286,5.824416411,11.92736947,2.012559107,0.020280195,0.842105263,0.75,0.835526316
GRIN1_140051146,0.165415127,0.50695031,0.000383947,5.128604936,10.93754304,2.018860102,0.017674905,0.823529412,0.818181818,0.909090909
GRIN1_140051148,0.207819692,0.575024038,0.000223587,6.323421574,14.0383053,2.545358002,0.021738111,0.764705882,1,0.92513369
GRIN1_140051154,0.153822095,0.491435731,0.000154429,7.898279547,16.7830064,3.088488247,0.017845016,0.882352941,0.909090909,0.935828877
GRIN1_140051156,0.150252937,0.388656678,0.000420943,8.47602935,17.18318085,3.375525827,0.013031727,0.823529412,0.909090909,0.906417112
GRIN1_140051171,0.242474543,0.348769086,0.232134747,1.086236661,3.111054888,-0.563998478,0.235505221,0.588235294,0.8,0.644117647
GRIN1_140051178,0.139896467,0.332613621,0.044582227,2.653985921,6.001247708,0.487150602,0.05441586,0.470588235,1,0.732620321
GRIN1_140051184,0.175293478,0.340733005,0.068788398,1.948065822,4.590780188,0.062673934,0.083430665,0.470588235,0.9,0.717647059
GRIN1_140051196,0.172362486,0.347167511,0.089660536,2.5065706,5.76899608,0.39165627,0.058096894,0.388888889,1,0.694444444
GRIN1_140051199,0.141611167,0.29667487,0.070196682,2.156163263,4.701967115,0.237857132,0.053719267,0.444444444,0.916666667,0.701388889
GRIN1_140051203,0.191501554,0.305988603,0.313416935,1.100109713,2.987190859,-0.405468179,0.191356111,0.5,0.75,0.613425926
GRIN1_140051205,0.153371768,0.289550254,0.245535562,1.476071121,3.534163951,-0.083256783,0.100775544,0.476190476,0.846153846,0.622710623
GRIN1_140051213,0.140977751,0.324369841,0.042740235,1.831721156,3.984199878,0.267780768,0.047792388,0.523809524,0.923076923,0.712454212
GRIN1_140051220,0.130321741,0.366125258,0.009157207,2.545322405,5.354001381,0.701955859,0.027292299,0.611111111,0.923076923,0.782051282
GRIN1_140051227,0.176651127,0.381263686,0.089660536,3.481376434,9.871647709,0.190098495,0.143206515,0.727272727,0.833333333,0.765151515
GRIN1_140051232,0.149270174,0.28899148,0.582806388,1.530947228,5.267854101,-0.66821492,0.278692394,0.545454545,0.833333333,0.590909091
GRIN1_140051241,0.109294872,0.367686399,0.042885988,6.824288892,19.27727792,0.654821956,0.140350278,0.75,1,0.890625
GSC_95235339,0.170126034,0.33428229,0.000114341,1.91953601,2.775985818,1.192891805,2.19251E-06,0.583333333,0.907407407,0.653120713
GSC_95235341,0.154947261,0.325793944,9.3198E-05,1.990948162,2.861724244,1.256252174,1.28053E-06,0.564814815,0.925925926,0.655092593
GSC_95235343,0.154784633,0.317145555,7.28241E-05,1.948490764,2.818384936,1.211557722,2.1737E-06,0.555555556,0.898148148,0.657450274
GSC_95235351,0.127692928,0.275429612,0.000276636,1.937920539,2.879201306,1.154710532,1.11377E-05,0.546296296,0.907407407,0.644290123
GSC_95235355,0.133153795,0.287964745,0.000122645,2.180167602,3.162533264,1.358677414,2.32378E-06,0.537037037,0.925925926,0.652434842
GSC_95235384,0.102292604,0.220058677,0.014162487,1.548227929,2.430337972,0.813272557,0.000166842,0.490740741,0.861111111,0.597479424
GSC_95235393,0.107630095,0.246743035,0.000204287,1.861103392,2.801341202,1.085788058,2.05848E-05,0.555555556,0.861111111,0.647376543
GSC_95235402,0.136249297,0.254919113,0.001579921,1.645696499,2.585118946,0.879367752,0.000143287,0.490740741,0.87037037,0.625428669
GSC_95235419,0.169681611,0.320821451,6.74394E-05,1.784012541,2.641373282,1.0625482,9.7551E-06,0.546296296,0.888888889,0.658179012
GSC_95235425,0.177825117,0.27909382,0.01605879,1.284050548,2.118513258,0.588794826,0.000944948,0.509259259,0.768518519,0.595679012
GSC_95235428,0.170864477,0.302026377,0.00016524,1.529851767,2.371082438,0.832676521,9.16158E-05,0.546296296,0.861111111,0.64951989
GSC_95235434,0.290731597,0.412922447,0.036754077,1.460625104,2.218925179,0.793105384,6.00239E-05,0.472222222,0.907407407,0.582990398
GSC_95235437,0.220456266,0.380829617,2.94619E-10,2.08120101,3.037614344,1.291234839,3.1007E-06,0.685185185,0.805555556,0.749914266
HIST1H3G_26271605,0.117580474,0.326238824,1.55471E-10,2.681643867,3.654662967,1.849622376,8.47207E-09,0.691588785,0.820754717,0.75559866
HIST1H3G_26271716,0.114478828,0.338646218,6.84834E-11,2.644179495,3.636386622,1.811025202,1.9722E-08,0.682242991,0.933962264,0.760536061
HIST1H3G_26271718,0.15899359,0.3645802,2.48226E-09,2.186135344,3.008557679,1.472962556,3.3809E-08,0.682242991,0.849056604,0.738185505
HIST1H3G_26271748,0.097451896,0.343923885,1.7355E-12,2.85394423,3.886909359,1.998973617,4.54483E-09,0.682242991,0.924528302,0.781828602
HOXA1_27135007,0.322992226,0.584983024,1.96084E-20,3.911379468,4.994282363,2.967781442,8.34378E-13,0.824074074,0.87037037,0.870541838
HOXA1_27135064,0.222654272,0.468436191,1.83249E-16,3.017545037,3.960660629,2.195953007,6.68953E-11,0.731481481,0.898148148,0.827374829
HOXA1_27135073,0.202317968,0.470468479,5.27147E-19,3.210286077,4.167344327,2.377531164,1.26837E-11,0.842592593,0.814814815,0.855024005
HOXA1_27135075,0.187497632,0.446588043,6.72013E-19,3.069650634,4.021686515,2.244656688,4.59628E-11,0.833333333,0.787037037,0.853823731
HOXA1_27135147,0.126398941,0.326877687,1.05216E-12,2.551319299,3.543659982,1.716932672,5.83447E-08,0.648148148,0.888888889,0.782664609
HOXA1_27135153,0.136634811,0.34240577,1.00982E-14,2.767233004,3.815442332,1.886073078,2.66678E-08,0.703703704,0.898148148,0.807398834
HOXA1_27135177,0.200358711,0.445993093,2.65E-16,3.161945069,4.176035549,2.288066483,1.43339E-10,0.777777778,0.898148148,0.825574417
HOXA1_27135196,0.160424486,0.497424288,5.08512E-20,3.284542007,4.224503661,2.480658941,1.94473E-12,0.87037037,0.87037037,0.866083676
HOXA1_27135198,0.193001956,0.513425512,5.18686E-19,3.225369155,4.158820361,2.425894212,2.72913E-12,0.833333333,0.888888889,0.855109739
HOXA1_27135214,0.251738659,0.514736908,1.83249E-16,2.968478995,3.891249503,2.172870265,4.52106E-11,0.814814815,0.87037037,0.827374829
HOXA9_27204834,0.110501134,0.395939684,1.62148E-23,5.044101734,6.687407658,3.704134381,9.39245E-11,0.87037037,0.907407407,0.904492455
HOXA9_27204839,0.113012918,0.35480814,1.86798E-18,4.275849643,5.809411885,3.041733079,2.15812E-09,0.787037037,0.87037037,0.849022634
HOXA9_27204848,0.091187095,0.36902091,5.71241E-23,4.848289874,6.508341524,3.514547626,4.33764E-10,0.842592593,0.925925926,0.898062414
HOXA9_27204854,0.11014408,0.434076409,5.3276E-23,4.321234311,5.840093642,3.133354371,6.17266E-10,0.87037037,0.907407407,0.898448217
HOXA9_27204858,0.157944961,0.467900832,6.76738E-21,3.973650938,5.30567138,2.896340235,2.21754E-10,0.796296296,0.944444444,0.875514403
HOXA9_27204861,0.168688409,0.522991963,3.23788E-23,4.21533765,5.527600653,3.161191334,1.37265E-11,0.805555556,0.953703704,0.900934499
HOXA9_27204863,0.107132028,0.460350544,6.34536E-24,4.501835864,6.009182757,3.31151032,1.34395E-10,0.888888889,0.907407407,0.909122085
HOXA9_27204879,0.114532918,0.467600381,3.81112E-24,4.387566394,5.799420938,3.254381052,4.53745E-11,0.925925926,0.888888889,0.912379973
HOXA9_27204884,0.142538965,0.512118388,4.13019E-25,4.254860738,5.589396296,3.180222426,1.93778E-11,0.916666667,0.87962963,0.923268176
HOXA9_27204894,0.261937928,0.567087599,1.59053E-19,3.8600282,5.0445791,2.883199893,1.31004E-11,0.814814815,0.935185185,0.860639575
HOXA9_27204897,0.340498024,0.588505518,1.83399E-14,3.15740977,4.143402768,2.314028707,4.48036E-11,0.759259259,0.907407407,0.804355281
HOXA9_27204918,0.15657355,0.50991506,3.03607E-23,4.094792042,5.374106133,3.06226011,1.70447E-11,0.87037037,0.87962963,0.901320302
HOXA9_27204929,0.178474041,0.513490045,2.88253E-23,4.156719799,5.408356402,3.128968064,5.71739E-12,0.861111111,0.888888889,0.901663237
HOXA9_27204938,0.228799895,0.556760671,1.19857E-21,3.954882117,5.146326275,2.979864997,5.03524E-12,0.814814815,0.944444444,0.883787723
HOXA9_27204945,0.204284674,0.54640983,1.39183E-21,3.863459187,5.062343132,2.897431204,1.2251E-11,0.833333333,0.944444444,0.883058985
HOXA9_27204948,0.219776788,0.527798948,3.57205E-19,3.670029644,4.831841504,2.722383157,3.02353E-11,0.759259259,0.944444444,0.856824417
HOXA9_27204951,0.238799607,0.555054607,2.32386E-21,4.022349144,5.279962842,3.002630428,1.84807E-11,0.824074074,0.953703704,0.880658436
HOXA9_27204958,0.192829127,0.536766283,1.42327E-22,3.936401207,5.156588466,2.9453377,1.42457E-11,0.851851852,0.916666667,0.893689986
HOXA9_27204981,0.173636212,0.503669807,5.8688E-20,3.667133499,4.849386568,2.701359964,6.64492E-11,0.796296296,0.925925926,0.865312071
HOXA9_27204984,0.225513127,0.504891371,1.39516E-15,3.161737648,4.188156961,2.307202874,1.09396E-10,0.722222222,0.925925926,0.817429698
HOXA9_27204991,0.143438422,0.486086741,5.88137E-22,3.732154809,4.934286232,2.757865845,5.45382E-11,0.833333333,0.888888889,0.887002743
HOXA9_27204998,0.173384023,0.540158884,1.61E-21,3.701795417,4.8366053,2.780485147,8.97197E-12,0.842592593,0.907407407,0.88228738
HOXA9_27205011,0.174449475,0.536451219,5.72812E-22,3.824085397,4.9837833,2.876027678,6.94517E-12,0.87962963,0.888888889,0.887217078
HOXA9_27205013,0.121347304,0.483716874,2.4716E-23,3.949053964,5.208838891,2.929760339,3.72491E-11,0.898148148,0.888888889,0.902477709
HOXA9_27205016,0.135630156,0.510795977,4.48494E-22,3.687132732,4.829195138,2.755757327,1.54094E-11,0.87037037,0.907407407,0.888374486
HOXA9_27205019,0.131961537,0.502240955,2.19752E-22,3.842829159,5.053258603,2.860990911,2.63474E-11,0.87037037,0.907407407,0.89167524
HOXA9_27205022,0.112593707,0.474958109,3.65469E-23,3.983565812,5.294548854,2.936666071,8.90113E-11,0.888888889,0.888888889,0.900291495
HOXA9_27205035,0.109156351,0.483898081,5.972E-24,4.183137201,5.521798475,3.094210421,5.13083E-11,0.87962963,0.888888889,0.909465021
HOXA9_27205043,0.134757273,0.54855453,8.32554E-24,3.831523848,5.021705301,2.879602979,1.2073E-11,0.907407407,0.87962963,0.907878944
HOXD12_176964063,0.082958699,0.236957754,4.35679E-17,3.374981383,4.881486844,2.148292361,1.56285E-06,0.805555556,0.824074074,0.834276406
HOXD12_176964066,0.100374768,0.304072746,2.12815E-18,3.426428115,4.755609446,2.326666106,4.65702E-08,0.814814815,0.888888889,0.84837963
HOXD12_176964071,0.095625496,0.303255191,5.35869E-19,3.235007151,4.554528491,2.16280525,1.54975E-07,0.805555556,0.87962963,0.854938272
HOXD12_176964073,0.098483699,0.283653194,9.72461E-17,2.889595871,4.113507503,1.885652245,4.63342E-07,0.768518519,0.87962963,0.830418381
HOXD12_176964082,0.23979051,0.50129173,1.21191E-20,4.037963341,5.242522916,3.007985691,9.24499E-12,0.87037037,0.898148148,0.872770919
HOXD12_176964091,0.12545319,0.343448051,5.39304E-19,3.500817933,4.748171393,2.450237039,3.86785E-09,0.861111111,0.888888889,0.854895405
HOXD12_176964098,0.268871203,0.424414703,1.26999E-09,2.414697185,3.412037876,1.559538589,4.03401E-07,0.601851852,0.935185185,0.740826475
HOXD12_176964101,0.232121224,0.485033877,3.22267E-20,3.863391015,5.07336998,2.838312335,4.48974E-11,0.833333333,0.87037037,0.868227023
HOXD12_176964121,0.286933838,0.561285849,1.30661E-22,4.559471539,5.856026919,3.453035017,1.48235E-12,0.898148148,0.898148148,0.894118656
HOXD12_176964137,0.123707886,0.38190776,1.52901E-21,3.768298097,5.040558284,2.707513029,5.09625E-10,0.87037037,0.851851852,0.882587449
HOXD12_176964151,0.13580538,0.378568726,1.36697E-19,3.436037258,4.649789059,2.423951388,2.498E-09,0.851851852,0.842592593,0.861368313
HOXD12_176964168,0.201795699,0.527141277,7.33191E-23,4.100816295,5.250336117,3.121768186,8.42174E-13,0.935185185,0.861111111,0.89686214
HOXD12_176964175,0.109963808,0.379123216,1.28131E-21,3.734328209,4.993874503,2.688934838,4.521E-10,0.824074074,0.925925926,0.883487654
HOXD12_176964180,0.165665153,0.470665746,9.05906E-23,3.777123064,4.949724979,2.794214766,2.75376E-11,0.87962963,0.861111111,0.895790466
HOXD12_176964194,0.061195601,0.216054314,1.21878E-16,3.321375476,4.849040348,2.109757164,2.21346E-06,0.731481481,0.861111111,0.829346708
HOXD4_177016327,0.168778716,0.347478148,1.78548E-07,2.190065681,3.066315702,1.434572043,1.82764E-07,0.490740741,0.898148148,0.707175926
HOXD4_177016375,0.277240715,0.530575922,2.76769E-11,2.289943014,3.016813151,1.647051774,1.45655E-10,0.712962963,0.833333333,0.764060357
HOXD4_177016417,0.2558018,0.535520166,1.82238E-14,2.627377362,3.416923223,1.937152291,1.71674E-11,0.731481481,0.851851852,0.804398148
HOXD4_177016421,0.253180325,0.495883749,2.10697E-12,2.363345692,3.142554657,1.681027964,4.71389E-10,0.638888889,0.861111111,0.778806584
HOXD4_177016439,0.253847752,0.507897404,4.06977E-13,2.536995094,3.335441443,1.836072784,9.39245E-11,0.722222222,0.796296296,0.787894376
